Indicator,Disaggregation combinations using this value
#1-2-1,4
#1-2-2,1
#1-3-1,1
#1-4-1,1
#10-1-1,1
#10-2-1,1
#11-6-2,1
#11-6-3,1
#11-6-4,1
#12-4-1,1
#12-4-2,1
#12-4-3,1
#13-1-1,1
#13-2-1,1
#13-2-2,1
#13-3-1,1
#13-3-2,1
#14-1-1,1
#14-2-1,1
#14-2-2,1
#14-5-1,1
#14-7-1,1
#14-b-1,1
#15-1-1,1
#15-1-2,1
#15-2-1,1
#15-b-1,1
#16-7-1,1
#16-9-1,1
#17-17-1,1
#17-18-1,1
#17-18-2,1
#17-3-1,1
#17-6-1,1
#17-9-1,1
#17-9-2,1
#2-2-1,43
#2-2-2,33
#2-5-2,1
#2-a-1,1
#3-2-2,26
#3-5-1,1
#3-5-2,1
#3-6-1,1
#3-6-2,1
#3-8-1,1
#3-8-2,1
#3-9-1,1
#3-9-2,1
#3-a-1,2
#3-a-2,1
#4-1-1-1,87
#4-1-1-2,87
#4-2-1,1
#4-2-2,1
#4-3-1,3
#4-3-2,1
#4-5-1,3
#4-5-2,28
#4-6-1,33
#4-a-1,1
#4-a-2,1
#4-a-3,1
#4-c-1,1
#4-c-2,1
#4-c-3,1
#4-c-4,1
#4-c-5Percentage,1
#5-2-1,1
#5-2-2,1
#5-3-1,1
#5-5-1,26
#5-5-2,2
#5-5-3,1
#5-6-1,1
#6-1-1,8
#6-2-1,6
#6-3-1,1
#6-4-1,1
#6-a-1,1
#7-1-1,3
#7-2-1,1
#8-1-1,1
#8-2-2-1,1
#8-2-2-2,1
#8-2-2-3,1
#8-9-1,1
#8-9-2,1
#8-a-1,1
#9-2-1,1
#9-5-1,1
#9-a-1,1
#9-c-1,1
