Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2000,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",,437.0
2005,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",,472.0
2008,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",,460.84
2010,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",,206.0
2014,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",,170.0
2019,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",,141.0
2021,3.2.1 Maternal mortality ratio (MMR),,Female,"Per 100,000 live births",,154.0
2008,3.2.1 Maternal mortality ratio (MMR),Banteay Meanchey,Female,"Per 100,000 live births",KH01,263.5
2008,3.2.1 Maternal mortality ratio (MMR),Battambang,Female,"Per 100,000 live births",KH02,219.41
2008,3.2.1 Maternal mortality ratio (MMR),Kampong Cham,Female,"Per 100,000 live births",KH03,451.02
2008,3.2.1 Maternal mortality ratio (MMR),Kampong Chhnang,Female,"Per 100,000 live births",KH04,277.22
2008,3.2.1 Maternal mortality ratio (MMR),Kampong Speu,Female,"Per 100,000 live births",KH05,460.78
2008,3.2.1 Maternal mortality ratio (MMR),Kampong Thom,Female,"Per 100,000 live births",KH06,590.68
2008,3.2.1 Maternal mortality ratio (MMR),Kampot,Female,"Per 100,000 live births",KH07,823.4
2008,3.2.1 Maternal mortality ratio (MMR),Kandal,Female,"Per 100,000 live births",KH08,305.06
2008,3.2.1 Maternal mortality ratio (MMR),Kep,Female,"Per 100,000 live births",KH23,1388.13
2008,3.2.1 Maternal mortality ratio (MMR),Koh Kong,Female,"Per 100,000 live births",KH09,1113.26
2008,3.2.1 Maternal mortality ratio (MMR),Kratie,Female,"Per 100,000 live births",KH10,491.03
2008,3.2.1 Maternal mortality ratio (MMR),Mondul Kiri,Female,"Per 100,000 live births",KH11,1498.75
2008,3.2.1 Maternal mortality ratio (MMR),Oddar Meanchey,Female,"Per 100,000 live births",KH22,257.07
2008,3.2.1 Maternal mortality ratio (MMR),Pailin,Female,"Per 100,000 live births",KH24,630.63
2008,3.2.1 Maternal mortality ratio (MMR),Phnom Penh,Female,"Per 100,000 live births",KH12,298.42
2008,3.2.1 Maternal mortality ratio (MMR),Preah Sihanouk,Female,"Per 100,000 live births",KH18,806.45
2008,3.2.1 Maternal mortality ratio (MMR),Preah Vihear,Female,"Per 100,000 live births",KH13,476.33
2008,3.2.1 Maternal mortality ratio (MMR),Prey Veng,Female,"Per 100,000 live births",KH14,613.66
2008,3.2.1 Maternal mortality ratio (MMR),Pursat,Female,"Per 100,000 live births",KH15,269.49
2008,3.2.1 Maternal mortality ratio (MMR),Ratanak Kiri,Female,"Per 100,000 live births",KH16,1441.73
2008,3.2.1 Maternal mortality ratio (MMR),Siemreap,Female,"Per 100,000 live births",KH17,366.0
2008,3.2.1 Maternal mortality ratio (MMR),Stung Treng,Female,"Per 100,000 live births",KH19,423.53
2008,3.2.1 Maternal mortality ratio (MMR),Svay Rieng,Female,"Per 100,000 live births",KH20,558.84
2008,3.2.1 Maternal mortality ratio (MMR),Takeo,Female,"Per 100,000 live births",KH21,568.85
