Year,SERIES,Reference area,Degree of urbanisation,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
1993,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,5.8
1996,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,26.4
1997,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,29.9
1999,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,47.5
2004,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,51.2
2007,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,54.5
2008,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,55.0
2009,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,48.7
2010,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,48.2
2011,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,50.5
2012,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,50.7
2013,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,54.2
2014,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,54.5
2015,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,59.2
2016,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,61.1
2017,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,64.8
2019,6.1.1 Proportion of population using an improved drinking water source,,,,Percent,,79.71
2009,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Piped In Dwelling Or On Premises,Percent,,15.0
2010,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Piped In Dwelling Or On Premises,Percent,,14.2
2011,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Piped In Dwelling Or On Premises,Percent,,16.2
2012,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Piped In Dwelling Or On Premises,Percent,,20.0
2013,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Piped In Dwelling Or On Premises,Percent,,22.5
2014,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Piped In Dwelling Or On Premises,Percent,,21.7
2015,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Piped In Dwelling Or On Premises,Percent,,24.1
2016,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Piped In Dwelling Or On Premises,Percent,,29.5
2017,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Piped In Dwelling Or On Premises,Percent,,29.2
2019,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Piped In Dwelling Or On Premises,Percent,,29.55
2009,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Public Tap,Percent,,0.5
2010,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Public Tap,Percent,,0.1
2011,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Public Tap,Percent,,0.1
2012,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Public Tap,Percent,,0.1
2013,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Public Tap,Percent,,0.0
2014,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Public Tap,Percent,,0.1
2015,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Public Tap,Percent,,0.6
2016,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Public Tap,Percent,,0.3
2017,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Public Tap,Percent,,1.0
2019,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Public Tap,Percent,,0.95
2009,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Tube Piped Well Or Borehole,Percent,,26.0
2010,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Tube Piped Well Or Borehole,Percent,,26.2
2011,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Tube Piped Well Or Borehole,Percent,,26.5
2012,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Tube Piped Well Or Borehole,Percent,,24.9
2013,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Tube Piped Well Or Borehole,Percent,,26.7
2014,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Tube Piped Well Or Borehole,Percent,,25.2
2015,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Tube Piped Well Or Borehole,Percent,,28.0
2016,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Tube Piped Well Or Borehole,Percent,,26.0
2017,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Tube Piped Well Or Borehole,Percent,,29.0
2019,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Tube Piped Well Or Borehole,Percent,,30.1
2009,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Protected Dug Well,Percent,,6.9
2010,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Protected Dug Well,Percent,,7.4
2011,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Protected Dug Well,Percent,,7.5
2012,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Protected Dug Well,Percent,,5.5
2013,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Protected Dug Well,Percent,,4.8
2014,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Protected Dug Well,Percent,,7.0
2015,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Protected Dug Well,Percent,,6.4
2016,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Protected Dug Well,Percent,,4.8
2017,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Protected Dug Well,Percent,,5.3
2019,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Protected Dug Well,Percent,,4.16
2009,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Improved Rainwater Collection,Percent,,0.3
2010,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Improved Rainwater Collection,Percent,,0.3
2011,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Improved Rainwater Collection,Percent,,0.2
2012,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Improved Rainwater Collection,Percent,,0.3
2013,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Improved Rainwater Collection,Percent,,0.1
2014,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Improved Rainwater Collection,Percent,,0.5
2015,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Improved Rainwater Collection,Percent,,0.1
2016,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Improved Rainwater Collection,Percent,,0.5
2017,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Improved Rainwater Collection,Percent,,0.3
2019,6.1.1 Proportion of population using an improved drinking water source,,,Type of water source: Improved Rainwater Collection,Percent,,5.81
1993,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,23.5
1996,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,41.9
1997,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,52.9
1999,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,57.2
2004,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,61.6
2007,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,61.5
2008,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,82.3
2009,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,78.2
2010,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,79.0
2011,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,81.3
2012,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,81.5
2013,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,83.1
2014,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,80.7
2015,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,84.2
2016,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,88.8
2017,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,87.7
2019,6.1.1 Proportion of population using an improved drinking water source,,Urban,,Percent,,88.01
1993,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,2.9
