Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
1979,18.2.1 Number of civilian casualties from mines/ERW,,Number,,4674
1980,18.2.1 Number of civilian casualties from mines/ERW,,Number,,1343
1981,18.2.1 Number of civilian casualties from mines/ERW,,Number,,1021
1982,18.2.1 Number of civilian casualties from mines/ERW,,Number,,1893
1983,18.2.1 Number of civilian casualties from mines/ERW,,Number,,2761
1984,18.2.1 Number of civilian casualties from mines/ERW,,Number,,2966
1985,18.2.1 Number of civilian casualties from mines/ERW,,Number,,3520
1986,18.2.1 Number of civilian casualties from mines/ERW,,Number,,2902
1987,18.2.1 Number of civilian casualties from mines/ERW,,Number,,3533
1988,18.2.1 Number of civilian casualties from mines/ERW,,Number,,2967
1989,18.2.1 Number of civilian casualties from mines/ERW,,Number,,3333
1990,18.2.1 Number of civilian casualties from mines/ERW,,Number,,3000
1991,18.2.1 Number of civilian casualties from mines/ERW,,Number,,2427
1992,18.2.1 Number of civilian casualties from mines/ERW,,Number,,2189
1993,18.2.1 Number of civilian casualties from mines/ERW,,Number,,2535
1994,18.2.1 Number of civilian casualties from mines/ERW,,Number,,2809
1995,18.2.1 Number of civilian casualties from mines/ERW,,Number,,3333
1996,18.2.1 Number of civilian casualties from mines/ERW,,Number,,4320
1997,18.2.1 Number of civilian casualties from mines/ERW,,Number,,2298
1998,18.2.1 Number of civilian casualties from mines/ERW,,Number,,2150
1999,18.2.1 Number of civilian casualties from mines/ERW,,Number,,1153
2000,18.2.1 Number of civilian casualties from mines/ERW,,Number,,858
2001,18.2.1 Number of civilian casualties from mines/ERW,,Number,,826
2002,18.2.1 Number of civilian casualties from mines/ERW,,Number,,847
2003,18.2.1 Number of civilian casualties from mines/ERW,,Number,,772
2004,18.2.1 Number of civilian casualties from mines/ERW,,Number,,898
2005,18.2.1 Number of civilian casualties from mines/ERW,,Number,,875
2006,18.2.1 Number of civilian casualties from mines/ERW,,Number,,450
2007,18.2.1 Number of civilian casualties from mines/ERW,,Number,,352
2008,18.2.1 Number of civilian casualties from mines/ERW,,Number,,271
2009,18.2.1 Number of civilian casualties from mines/ERW,,Number,,244
2010,18.2.1 Number of civilian casualties from mines/ERW,,Number,,286
2011,18.2.1 Number of civilian casualties from mines/ERW,,Number,,211
2012,18.2.1 Number of civilian casualties from mines/ERW,,Number,,186
2013,18.2.1 Number of civilian casualties from mines/ERW,,Number,,111
2014,18.2.1 Number of civilian casualties from mines/ERW,,Number,,154
2015,18.2.1 Number of civilian casualties from mines/ERW,,Number,,111
2016,18.2.1 Number of civilian casualties from mines/ERW,,Number,,83
2017,18.2.1 Number of civilian casualties from mines/ERW,,Number,,58
2018,18.2.1 Number of civilian casualties from mines/ERW,,Number,,58
2019,18.2.1 Number of civilian casualties from mines/ERW,,Number,,77
2020,18.2.1 Number of civilian casualties from mines/ERW,,Number,,65
2018,18.2.1 Number of civilian casualties from mines/ERW,Preah Vihear,Number,KH13,8
2019,18.2.1 Number of civilian casualties from mines/ERW,Preah Vihear,Number,KH13,6
2020,18.2.1 Number of civilian casualties from mines/ERW,Preah Vihear,Number,KH13,12
2018,18.2.1 Number of civilian casualties from mines/ERW,Kampong Thom,Number,KH06,0
2019,18.2.1 Number of civilian casualties from mines/ERW,Kampong Thom,Number,KH06,0
2020,18.2.1 Number of civilian casualties from mines/ERW,Kampong Thom,Number,KH06,3
2018,18.2.1 Number of civilian casualties from mines/ERW,Pursat,Number,KH15,3
2019,18.2.1 Number of civilian casualties from mines/ERW,Pursat,Number,KH15,3
2020,18.2.1 Number of civilian casualties from mines/ERW,Pursat,Number,KH15,10
2018,18.2.1 Number of civilian casualties from mines/ERW,Prey Veng,Number,KH14,0
2019,18.2.1 Number of civilian casualties from mines/ERW,Prey Veng,Number,KH14,0
2020,18.2.1 Number of civilian casualties from mines/ERW,Prey Veng,Number,KH14,0
2018,18.2.1 Number of civilian casualties from mines/ERW,Kampong Speu,Number,KH05,11
2019,18.2.1 Number of civilian casualties from mines/ERW,Kampong Speu,Number,KH05,0
2020,18.2.1 Number of civilian casualties from mines/ERW,Kampong Speu,Number,KH05,0
2018,18.2.1 Number of civilian casualties from mines/ERW,Kep,Number,KH23,0
2019,18.2.1 Number of civilian casualties from mines/ERW,Kep,Number,KH23,0
2020,18.2.1 Number of civilian casualties from mines/ERW,Kep,Number,KH23,0
2018,18.2.1 Number of civilian casualties from mines/ERW,Ratanak Kiri,Number,KH16,2
2019,18.2.1 Number of civilian casualties from mines/ERW,Ratanak Kiri,Number,KH16,12
2020,18.2.1 Number of civilian casualties from mines/ERW,Ratanak Kiri,Number,KH16,0
2018,18.2.1 Number of civilian casualties from mines/ERW,Koh Kong,Number,KH09,1
2019,18.2.1 Number of civilian casualties from mines/ERW,Koh Kong,Number,KH09,1
2020,18.2.1 Number of civilian casualties from mines/ERW,Koh Kong,Number,KH09,0
2018,18.2.1 Number of civilian casualties from mines/ERW,Kampong Chhnang,Number,KH04,2
2019,18.2.1 Number of civilian casualties from mines/ERW,Kampong Chhnang,Number,KH04,0
2020,18.2.1 Number of civilian casualties from mines/ERW,Kampong Chhnang,Number,KH04,0
2018,18.2.1 Number of civilian casualties from mines/ERW,Phnom Penh,Number,KH12,1
2019,18.2.1 Number of civilian casualties from mines/ERW,Phnom Penh,Number,KH12,4
2020,18.2.1 Number of civilian casualties from mines/ERW,Phnom Penh,Number,KH12,0
2018,18.2.1 Number of civilian casualties from mines/ERW,Battambang,Number,KH02,8
2019,18.2.1 Number of civilian casualties from mines/ERW,Battambang,Number,KH02,11
2020,18.2.1 Number of civilian casualties from mines/ERW,Battambang,Number,KH02,19
2018,18.2.1 Number of civilian casualties from mines/ERW,Tboung Khmum,Number,KH25,1
2019,18.2.1 Number of civilian casualties from mines/ERW,Tboung Khmum,Number,KH25,14
2020,18.2.1 Number of civilian casualties from mines/ERW,Tboung Khmum,Number,KH25,2
2018,18.2.1 Number of civilian casualties from mines/ERW,Kampot,Number,KH07,0
2019,18.2.1 Number of civilian casualties from mines/ERW,Kampot,Number,KH07,0
2020,18.2.1 Number of civilian casualties from mines/ERW,Kampot,Number,KH07,0
2018,18.2.1 Number of civilian casualties from mines/ERW,Mondul Kiri,Number,KH11,2
2019,18.2.1 Number of civilian casualties from mines/ERW,Mondul Kiri,Number,KH11,1
2020,18.2.1 Number of civilian casualties from mines/ERW,Mondul Kiri,Number,KH11,1
2018,18.2.1 Number of civilian casualties from mines/ERW,Svay Rieng,Number,KH20,0
2019,18.2.1 Number of civilian casualties from mines/ERW,Svay Rieng,Number,KH20,2
2020,18.2.1 Number of civilian casualties from mines/ERW,Svay Rieng,Number,KH20,0
2018,18.2.1 Number of civilian casualties from mines/ERW,Banteay Meanchey,Number,KH01,3
2019,18.2.1 Number of civilian casualties from mines/ERW,Banteay Meanchey,Number,KH01,6
2020,18.2.1 Number of civilian casualties from mines/ERW,Banteay Meanchey,Number,KH01,7
2018,18.2.1 Number of civilian casualties from mines/ERW,Stung Treng,Number,KH19,0
2019,18.2.1 Number of civilian casualties from mines/ERW,Stung Treng,Number,KH19,0
2020,18.2.1 Number of civilian casualties from mines/ERW,Stung Treng,Number,KH19,1
2018,18.2.1 Number of civilian casualties from mines/ERW,Kratie,Number,KH10,3
2019,18.2.1 Number of civilian casualties from mines/ERW,Kratie,Number,KH10,3
2020,18.2.1 Number of civilian casualties from mines/ERW,Kratie,Number,KH10,4
2018,18.2.1 Number of civilian casualties from mines/ERW,Takeo,Number,KH21,0
2019,18.2.1 Number of civilian casualties from mines/ERW,Takeo,Number,KH21,0
2020,18.2.1 Number of civilian casualties from mines/ERW,Takeo,Number,KH21,0
2018,18.2.1 Number of civilian casualties from mines/ERW,Oddar Meanchey,Number,KH22,5
2019,18.2.1 Number of civilian casualties from mines/ERW,Oddar Meanchey,Number,KH22,6
2020,18.2.1 Number of civilian casualties from mines/ERW,Oddar Meanchey,Number,KH22,3
2018,18.2.1 Number of civilian casualties from mines/ERW,Pailin,Number,KH24,1
2019,18.2.1 Number of civilian casualties from mines/ERW,Pailin,Number,KH24,2
2020,18.2.1 Number of civilian casualties from mines/ERW,Pailin,Number,KH24,2
2018,18.2.1 Number of civilian casualties from mines/ERW,Kampong Cham,Number,KH03,2
2019,18.2.1 Number of civilian casualties from mines/ERW,Kampong Cham,Number,KH03,2
2020,18.2.1 Number of civilian casualties from mines/ERW,Kampong Cham,Number,KH03,0
2018,18.2.1 Number of civilian casualties from mines/ERW,Kandal,Number,KH08,2
2019,18.2.1 Number of civilian casualties from mines/ERW,Kandal,Number,KH08,3
2020,18.2.1 Number of civilian casualties from mines/ERW,Kandal,Number,KH08,1
2018,18.2.1 Number of civilian casualties from mines/ERW,Preah Sihanouk,Number,KH18,0
2019,18.2.1 Number of civilian casualties from mines/ERW,Preah Sihanouk,Number,KH18,0
2020,18.2.1 Number of civilian casualties from mines/ERW,Preah Sihanouk,Number,KH18,0
2018,18.2.1 Number of civilian casualties from mines/ERW,Siemreap,Number,KH17,3
2019,18.2.1 Number of civilian casualties from mines/ERW,Siemreap,Number,KH17,1
2020,18.2.1 Number of civilian casualties from mines/ERW,Siemreap,Number,KH17,0
