Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,GeoCode,Value
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,Female,under 5 years old,,,Percent,,14.6
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,Female,under 5 years old,,,Percent,,7.4
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,Female,under 5 years old,,,Percent,,10.4
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,Female,under 5 years old,,,Percent,,9.3
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,Male,under 5 years old,,,Percent,,15.4
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,Male,under 5 years old,,,Percent,,7.1
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,Male,under 5 years old,,,Percent,,11.4
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,Male,under 5 years old,,,Percent,,9.9
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,,Percent,,15.0
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,,Percent,,7.3
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,,Percent,,10.9
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,,Percent,,9.6
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 1 (poorest),Percent,,8.3
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 1 (poorest),Percent,,11.9
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 1 (poorest),Percent,,11.0
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 2,Percent,,9.2
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 2,Percent,,9.6
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 2,Percent,,11.4
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 3,Percent,,5.5
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 3,Percent,,11.5
