Year,SERIES,Reference area,Degree of urbanisation,Education level,UNIT_MEASURE,GeoCode,Value
2008,4.5.2 Gender parity index in upper secondary education,,,Upper secondary education,Percent,,0.75
2009,4.5.2 Gender parity index in upper secondary education,,,Upper secondary education,Percent,,0.83
2010,4.5.2 Gender parity index in upper secondary education,,,Upper secondary education,Percent,,0.84
2011,4.5.2 Gender parity index in upper secondary education,,,Upper secondary education,Percent,,0.9
2012,4.5.2 Gender parity index in upper secondary education,,,Upper secondary education,Percent,,0.93
2013,4.5.2 Gender parity index in upper secondary education,,,Upper secondary education,Percent,,0.98
2014,4.5.2 Gender parity index in upper secondary education,,,Upper secondary education,Percent,,1.0
2015,4.5.2 Gender parity index in upper secondary education,,,Upper secondary education,Percent,,1.08
2016,4.5.2 Gender parity index in upper secondary education,,,Upper secondary education,Percent,,1.13
2017,4.5.2 Gender parity index in upper secondary education,,,Upper secondary education,Percent,,1.18
2018,4.5.2 Gender parity index in upper secondary education,,,Upper secondary education,Percent,,1.24
2019,4.5.2 Gender parity index in upper secondary education,,,Upper secondary education,Percent,,1.31
2008,4.5.2 Gender parity index in upper secondary education,,Urban,Upper secondary education,Percent,,0.78
2009,4.5.2 Gender parity index in upper secondary education,,Urban,Upper secondary education,Percent,,0.77
2010,4.5.2 Gender parity index in upper secondary education,,Urban,Upper secondary education,Percent,,0.81
2011,4.5.2 Gender parity index in upper secondary education,,Urban,Upper secondary education,Percent,,0.86
2012,4.5.2 Gender parity index in upper secondary education,,Urban,Upper secondary education,Percent,,0.88
2013,4.5.2 Gender parity index in upper secondary education,,Urban,Upper secondary education,Percent,,0.93
2014,4.5.2 Gender parity index in upper secondary education,,Urban,Upper secondary education,Percent,,1.0
2015,4.5.2 Gender parity index in upper secondary education,,Urban,Upper secondary education,Percent,,1.0
2016,4.5.2 Gender parity index in upper secondary education,,Urban,Upper secondary education,Percent,,1.03
2017,4.5.2 Gender parity index in upper secondary education,,Urban,Upper secondary education,Percent,,1.03
2018,4.5.2 Gender parity index in upper secondary education,,Urban,Upper secondary education,Percent,,1.07
2019,4.5.2 Gender parity index in upper secondary education,,Urban,Upper secondary education,Percent,,1.13
2008,4.5.2 Gender parity index in upper secondary education,,Rural,Upper secondary education,Percent,,0.72
2009,4.5.2 Gender parity index in upper secondary education,,Rural,Upper secondary education,Percent,,0.83
2010,4.5.2 Gender parity index in upper secondary education,,Rural,Upper secondary education,Percent,,0.84
2011,4.5.2 Gender parity index in upper secondary education,,Rural,Upper secondary education,Percent,,0.91
2012,4.5.2 Gender parity index in upper secondary education,,Rural,Upper secondary education,Percent,,0.95
2013,4.5.2 Gender parity index in upper secondary education,,Rural,Upper secondary education,Percent,,0.98
2014,4.5.2 Gender parity index in upper secondary education,,Rural,Upper secondary education,Percent,,1.0
2015,4.5.2 Gender parity index in upper secondary education,,Rural,Upper secondary education,Percent,,1.11
2016,4.5.2 Gender parity index in upper secondary education,,Rural,Upper secondary education,Percent,,1.17
2017,4.5.2 Gender parity index in upper secondary education,,Rural,Upper secondary education,Percent,,1.24
