Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
1993,5.5.2 Proportion of under secretary of state who are women,,Female,Percent,,5.0
1998,5.5.2 Proportion of under secretary of state who are women,,Female,Percent,,3.93
2003,5.5.2 Proportion of under secretary of state who are women,,Female,Percent,,7.5
2008,5.5.2 Proportion of under secretary of state who are women,,Female,Percent,,15.1
2013,5.5.2 Proportion of under secretary of state who are women,,Female,Percent,,17.58
2018,5.5.2 Proportion of under secretary of state who are women,,Female,Percent,,16.87
1993,5.5.2 Proportion of secretary of state who are women,,Female,Percent,,0.0
1998,5.5.2 Proportion of secretary of state who are women,,Female,Percent,,6.0
2003,5.5.2 Proportion of secretary of state who are women,,Female,Percent,,6.6
2008,5.5.2 Proportion of secretary of state who are women,,Female,Percent,,8.0
2013,5.5.2 Proportion of secretary of state who are women,,Female,Percent,,20.54
2018,5.5.2 Proportion of secretary of state who are women,,Female,Percent,,16.36
