Year,Value,GeoCode,UNIT_MEASURE,SERIES
1998,56.3,,Years,3.1.1 Life expectancy at birth
2000,57.5,,Years,3.1.1 Life expectancy at birth
2001,58.2,,Years,3.1.1 Life expectancy at birth
2002,58.9,,Years,3.1.1 Life expectancy at birth
2003,59.6,,Years,3.1.1 Life expectancy at birth
2004,60.3,,Years,3.1.1 Life expectancy at birth
2005,61.0,,Years,3.1.1 Life expectancy at birth
2006,61.7,,Years,3.1.1 Life expectancy at birth
2007,62.4,,Years,3.1.1 Life expectancy at birth
2008,62.4,,Years,3.1.1 Life expectancy at birth
2009,63.8,,Years,3.1.1 Life expectancy at birth
2010,64.5,,Years,3.1.1 Life expectancy at birth
2011,65.2,,Years,3.1.1 Life expectancy at birth
2012,66.7,,Years,3.1.1 Life expectancy at birth
2013,67.6,,Years,3.1.1 Life expectancy at birth
2014,68.3,,Years,3.1.1 Life expectancy at birth
2015,69.1,,Years,3.1.1 Life expectancy at birth
2016,69.9,,Years,3.1.1 Life expectancy at birth
2017,70.6,,Years,3.1.1 Life expectancy at birth
2018,70.6,,Years,3.1.1 Life expectancy at birth
2019,75.5,,Years,3.1.1 Life expectancy at birth
