Year,Value,GeoCode,UNIT_MEASURE,SERIES
2008,0.9,,Percent,4.5.1 Gender parity index in lower secondary education
2009,1.0,,Percent,4.5.1 Gender parity index in lower secondary education
2010,1.0,,Percent,4.5.1 Gender parity index in lower secondary education
2011,1.0,,Percent,4.5.1 Gender parity index in lower secondary education
2012,1.0,,Percent,4.5.1 Gender parity index in lower secondary education
2013,1.1,,Percent,4.5.1 Gender parity index in lower secondary education
2014,1.1,,Percent,4.5.1 Gender parity index in lower secondary education
2015,1.1,,Percent,4.5.1 Gender parity index in lower secondary education
2016,1.1,,Percent,4.5.1 Gender parity index in lower secondary education
2017,1.2,,Percent,4.5.1 Gender parity index in lower secondary education
2018,1.2,,Percent,4.5.1 Gender parity index in lower secondary education
2019,1.2,,Percent,4.5.1 Gender parity index in lower secondary education
