Year,Value,GeoCode,UNIT_MEASURE,SERIES
1993,5.8,,Percent,6.1.1 Proportion of population using an improved drinking water source
1996,26.4,,Percent,6.1.1 Proportion of population using an improved drinking water source
1997,29.9,,Percent,6.1.1 Proportion of population using an improved drinking water source
1999,47.5,,Percent,6.1.1 Proportion of population using an improved drinking water source
2004,51.2,,Percent,6.1.1 Proportion of population using an improved drinking water source
2007,54.5,,Percent,6.1.1 Proportion of population using an improved drinking water source
2008,55.0,,Percent,6.1.1 Proportion of population using an improved drinking water source
2009,48.7,,Percent,6.1.1 Proportion of population using an improved drinking water source
2010,48.2,,Percent,6.1.1 Proportion of population using an improved drinking water source
2011,50.5,,Percent,6.1.1 Proportion of population using an improved drinking water source
2012,50.7,,Percent,6.1.1 Proportion of population using an improved drinking water source
2013,54.2,,Percent,6.1.1 Proportion of population using an improved drinking water source
2014,54.5,,Percent,6.1.1 Proportion of population using an improved drinking water source
2015,59.2,,Percent,6.1.1 Proportion of population using an improved drinking water source
2016,61.1,,Percent,6.1.1 Proportion of population using an improved drinking water source
2017,64.8,,Percent,6.1.1 Proportion of population using an improved drinking water source
2019,79.71,,Percent,6.1.1 Proportion of population using an improved drinking water source
