Year,SERIES,តំបន់យោង,ភេទ,អាយុ,កំរិតនគរូបនីយកម្ម,ប្រាក់ចំណូលឬទ្រព្យសម្បត្តិមានចំនួនច្រើន,UNIT_MEASURE,GeoCode,Value
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ស្រី,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,,34.1
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ស្រី,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,,30.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ស្រី,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,,27.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ស្រី,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,,20.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ស្រី,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,34.1
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ស្រី,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,30.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ស្រី,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,27.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ស្រី,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,20.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ប្រុស,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,,44.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ប្រុស,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,,42.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ប្រុស,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,,36.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ប្រុស,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,,22.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ប្រុស,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,44.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ប្រុស,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,42.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ប្រុស,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,36.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,ប្រុស,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,22.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,,37.3
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,,28.0
