Year,SERIES,តំបន់យោង,ភេទ,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,GeoCode,Value
2004,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,45.7
2005,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,42.2
2006,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,89.8
2007,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,88.0
2008,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,85.7
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,83.6
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,85.0
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,89.9
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,87.8
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,90.2
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,86.6
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,84.0
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,83.2
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,82.7
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,86.1
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,,ភាគរយ,,87.6
