Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,កម្រិត​ការ​អប់រំ,UNIT_MEASURE,GeoCode,Value
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.75
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.83
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.84
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.9
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.93
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.98
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.0
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.08
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.13
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.18
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.24
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.31
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ទីប្រជុំជន,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.78
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ទីប្រជុំជន,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.77
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ទីប្រជុំជន,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.81
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ទីប្រជុំជន,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.86
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ទីប្រជុំជន,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.88
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ទីប្រជុំជន,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.93
