Year,SERIES,តំបន់យោង,UNIT_MEASURE,GeoCode,Value
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,,ចំនួន,,47375
2016,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,,ចំនួន,,52274
2017,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,,ចំនួន,,54092
2018,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,,ចំនួន,,55702
2019,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,,ចំនួន,,57282
2020,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,,ចំនួន,,58762
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,បន្ទាយមានជ័យ,ចំនួន,KH01,1192
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,បាត់ដំបង,ចំនួន,KH02,2711
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,កំពង់ចាម,ចំនួន,KH03,4644
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,កំពង់ឆ្នាំង,ចំនួន,KH04,1325
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,កំពង់ស្ពឺ,ចំនួន,KH05,1743
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,កំពង់ធំ,ចំនួន,KH06,1732
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,កំពត,ចំនួន,KH07,1889
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,កណ្តាល,ចំនួន,KH08,3705
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,កែប,ចំនួន,KH23,242
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,កោះកុង,ចំនួន,KH09,230
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,ខេត្តក្រចេះ,ចំនួន,KH10,1052
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,មណ្ឌលគីរី,ចំនួន,KH11,315
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,ឧត្តរមានជ័យ,ចំនួន,KH22,190
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,ប៉ៃលិន,ចំនួន,KH24,146
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,ភ្នំពេញ,ចំនួន,KH12,14628
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,ព្រះសីហនុ,ចំនួន,KH18,606
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,ព្រះវិហារ,ចំនួន,KH13,385
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,ព្រៃវែង,ចំនួន,KH14,3232
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,ពោធិសាត់,ចំនួន,KH15,1228
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,រតនគិរី,ចំនួន,KH16,125
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,សៀមរាប,ចំនួន,KH17,1562
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,ស្ទឹងត្រែង,ចំនួន,KH19,372
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,ស្វាយរៀង,ចំនួន,KH20,1664
2014,១០.៤.១ និវត្តជននិងជនបាត់បង់សម្បទាវិជ្ជាជីវៈ,តាកែវ,ចំនួន,KH21,2457
