Year,SERIES,តំបន់យោង,ភេទ,អាយុ,កំរិតនគរូបនីយកម្ម,ប្រាក់ចំណូលឬទ្រព្យសម្បត្តិមានចំនួនច្រើន,UNIT_MEASURE,GeoCode,Value
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,,14.6
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,,7.4
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,,10.4
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,,9.3
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,,15.4
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,,7.1
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,,11.4
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,,9.9
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,,15.0
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,,7.3
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,,10.9
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,,9.6
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ១ (ក្របំផុត),ភាគរយ,,8.3
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ១ (ក្របំផុត),ភាគរយ,,11.9
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ១ (ក្របំផុត),ភាគរយ,,11.0
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ២,ភាគរយ,,9.2
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ២,ភាគរយ,,9.6
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ២,ភាគរយ,,11.4
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៣,ភាគរយ,,5.5
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៣,ភាគរយ,,11.5
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៣,ភាគរយ,,8.4
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៤,ភាគរយ,,6.0
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៤,ភាគរយ,,11.1
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៤,ភាគរយ,,9.3
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ភាគរយ,,6.7
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ភាគរយ,,10.1
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ភាគរយ,,7.4
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,ទីប្រជុំជន,,ភាគរយ,,12.6
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,ទីប្រជុំជន,,ភាគរយ,,8.3
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,ទីប្រជុំជន,,ភាគរយ,,11.6
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,ទីប្រជុំជន,,ភាគរយ,,7.5
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,ជនបទ,,ភាគរយ,,15.4
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,ជនបទ,,ភាគរយ,,7.1
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,ជនបទ,,ភាគរយ,,10.8
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,,,អាយុក្រោម ៥ ឆ្នាំ,ជនបទ,,ភាគរយ,,9.9
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,បន្ទាយមានជ័យ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH01,19.5
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,បន្ទាយមានជ័យ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH01,5.5
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,បន្ទាយមានជ័យ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH01,7.3
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,បន្ទាយមានជ័យ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH01,7.8
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ចាម,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH03,15.6
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ចាម,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH03,6.0
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ចាម,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH03,11.8
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ចាម,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH03,8.1
