Year,SERIES,តំបន់យោង,ភេទ,UNIT_MEASURE,GeoCode,Value
2000,៣.២.១ អត្រាមរណភាពមាតា,,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,,437.0
2005,៣.២.១ អត្រាមរណភាពមាតា,,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,,472.0
2008,៣.២.១ អត្រាមរណភាពមាតា,,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,,460.84
2010,៣.២.១ អត្រាមរណភាពមាតា,,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,,206.0
2014,៣.២.១ អត្រាមរណភាពមាតា,,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,,170.0
2019,៣.២.១ អត្រាមរណភាពមាតា,,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,,141.0
2021,៣.២.១ អត្រាមរណភាពមាតា,,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,,154.0
2008,៣.២.១ អត្រាមរណភាពមាតា,បន្ទាយមានជ័យ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH01,263.5
2008,៣.២.១ អត្រាមរណភាពមាតា,បាត់ដំបង,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH02,219.41
2008,៣.២.១ អត្រាមរណភាពមាតា,កំពង់ចាម,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH03,451.02
2008,៣.២.១ អត្រាមរណភាពមាតា,កំពង់ឆ្នាំង,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH04,277.22
2008,៣.២.១ អត្រាមរណភាពមាតា,កំពង់ស្ពឺ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH05,460.78
2008,៣.២.១ អត្រាមរណភាពមាតា,កំពង់ធំ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH06,590.68
2008,៣.២.១ អត្រាមរណភាពមាតា,កំពត,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH07,823.4
2008,៣.២.១ អត្រាមរណភាពមាតា,កណ្តាល,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH08,305.06
2008,៣.២.១ អត្រាមរណភាពមាតា,កែប,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH23,1388.13
2008,៣.២.១ អត្រាមរណភាពមាតា,កោះកុង,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH09,1113.26
2008,៣.២.១ អត្រាមរណភាពមាតា,ខេត្តក្រចេះ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH10,491.03
2008,៣.២.១ អត្រាមរណភាពមាតា,មណ្ឌលគីរី,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH11,1498.75
2008,៣.២.១ អត្រាមរណភាពមាតា,ឧត្តរមានជ័យ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH22,257.07
2008,៣.២.១ អត្រាមរណភាពមាតា,ប៉ៃលិន,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH24,630.63
2008,៣.២.១ អត្រាមរណភាពមាតា,ភ្នំពេញ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH12,298.42
2008,៣.២.១ អត្រាមរណភាពមាតា,ព្រះសីហនុ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH18,806.45
2008,៣.២.១ អត្រាមរណភាពមាតា,ព្រះវិហារ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH13,476.33
2008,៣.២.១ អត្រាមរណភាពមាតា,ព្រៃវែង,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH14,613.66
2008,៣.២.១ អត្រាមរណភាពមាតា,ពោធិសាត់,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH15,269.49
2008,៣.២.១ អត្រាមរណភាពមាតា,រតនគិរី,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH16,1441.73
2008,៣.២.១ អត្រាមរណភាពមាតា,សៀមរាប,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH17,366.0
2008,៣.២.១ អត្រាមរណភាពមាតា,ស្ទឹងត្រែង,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH19,423.53
2008,៣.២.១ អត្រាមរណភាពមាតា,ស្វាយរៀង,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH20,558.84
2008,៣.២.១ អត្រាមរណភាពមាតា,តាកែវ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,KH21,568.85
