Year,SERIES,តំបន់យោង,ភេទ,អាយុ,UNIT_MEASURE,GeoCode,Value
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,66.4
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,72.3
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,74.9
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,71.0
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,78.2
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,70.8
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,74.5
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,78.4
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,76.7
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,77.3
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,62.5
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,66.1
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,67.9
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,70.3
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,73.2
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,71.8
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,61.2
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,64.5
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,60.5
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,66.0
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,67.7
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,66.8
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,69.9
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,72.5
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,70.6
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,72.5
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,76.8
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,84.4
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,87.9
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,85.8
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,88.2
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,91.3
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,91.3
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,92.8
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,90.4
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,92.6
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,95.9
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,95.7
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,95.1
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,59.9
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,66.0
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,67.7
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,65.9
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,69.1
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,72.6
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,73.2
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,74.4
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,71.8
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,75.0
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,79.3
