Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
1993,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,8.6
1996,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,15.4
1997,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,16.7
1999,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,18.4
2004,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,24.7
2007,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,30.5
2008,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,32.8
2009,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,34.0
2010,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,40.0
2011,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,43.6
2012,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,45.2
2013,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,51.7
2014,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,55.9
2015,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,61.8
2016,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,72.9
2017,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,76.0
2019,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,,ភាគរយ,,80.36
2008,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,,9.7
2009,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,,9.6
2010,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,,9.1
2011,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,,9.0
2012,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,,10.4
2013,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,,11.3
2014,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,,12.4
2015,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,,12.6
2016,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,,13.4
2017,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,,11.9
2019,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,,17.59
2008,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,,21.1
2009,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,,24.3
2010,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,,30.0
2011,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,,33.1
2012,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,,33.5
2013,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,,39.9
2014,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,,42.8
2015,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,,48.3
2016,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,,59.0
2017,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,,63.1
2019,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,,61.89
2008,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,,2.0
2009,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,,0.8
2010,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,,0.9
2011,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,,1.5
2012,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,,1.2
2013,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,,0.5
2014,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,,0.7
2015,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,,0.9
