Year,Value,GeoCode,UNIT_MEASURE,SERIES
1993,5.8,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
1996,26.4,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
1997,29.9,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
1999,47.5,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2004,51.2,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2007,54.5,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2008,55.0,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2009,48.7,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2010,48.2,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2011,50.5,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2012,50.7,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2013,54.2,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2014,54.5,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2015,59.2,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2016,61.1,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2017,64.8,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
2019,79.71,,ភាគរយ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន
