Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,N_KH_100401_01,,NUMBER,,47375
2016,N_KH_100401_01,,NUMBER,,52274
2017,N_KH_100401_01,,NUMBER,,54092
2018,N_KH_100401_01,,NUMBER,,55702
2019,N_KH_100401_01,,NUMBER,,57282
2020,N_KH_100401_01,,NUMBER,,58762
2014,N_KH_100401_01,KH01,NUMBER,KH01,1192
2014,N_KH_100401_01,KH02,NUMBER,KH02,2711
2014,N_KH_100401_01,KH03,NUMBER,KH03,4644
2014,N_KH_100401_01,KH04,NUMBER,KH04,1325
2014,N_KH_100401_01,KH05,NUMBER,KH05,1743
2014,N_KH_100401_01,KH06,NUMBER,KH06,1732
2014,N_KH_100401_01,KH07,NUMBER,KH07,1889
2014,N_KH_100401_01,KH08,NUMBER,KH08,3705
2014,N_KH_100401_01,KH23,NUMBER,KH23,242
2014,N_KH_100401_01,KH09,NUMBER,KH09,230
2014,N_KH_100401_01,KH10,NUMBER,KH10,1052
2014,N_KH_100401_01,KH11,NUMBER,KH11,315
2014,N_KH_100401_01,KH22,NUMBER,KH22,190
2014,N_KH_100401_01,KH24,NUMBER,KH24,146
2014,N_KH_100401_01,KH12,NUMBER,KH12,14628
2014,N_KH_100401_01,KH18,NUMBER,KH18,606
2014,N_KH_100401_01,KH13,NUMBER,KH13,385
2014,N_KH_100401_01,KH14,NUMBER,KH14,3232
2014,N_KH_100401_01,KH15,NUMBER,KH15,1228
2014,N_KH_100401_01,KH16,NUMBER,KH16,125
2014,N_KH_100401_01,KH17,NUMBER,KH17,1562
2014,N_KH_100401_01,KH19,NUMBER,KH19,372
2014,N_KH_100401_01,KH20,NUMBER,KH20,1664
2014,N_KH_100401_01,KH21,NUMBER,KH21,2457
