Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2004,N_KH_04010102_01,,F,,PT,,20.0
2005,N_KH_04010102_01,,F,,PT,,18.5
2006,N_KH_04010102_01,,F,,PT,,35.2
2007,N_KH_04010102_01,,F,,PT,,44.2
2008,N_KH_04010102_01,,F,,PT,,45.9
2009,N_KH_04010102_01,,F,,PT,,47.3
2010,N_KH_04010102_01,,F,,PT,,44.3
2011,N_KH_04010102_01,,F,,PT,,41.6
2012,N_KH_04010102_01,,F,,PT,,40.4
2013,N_KH_04010102_01,,F,,PT,,40.0
2014,N_KH_04010102_01,,F,,PT,,41.8
2015,N_KH_04010102_01,,F,,PT,,41.3
2016,N_KH_04010102_01,,F,,PT,,46.0
2017,N_KH_04010102_01,,F,,PT,,49.0
2018,N_KH_04010102_01,,F,,PT,,50.2
2019,N_KH_04010102_01,,F,,PT,,49.5
2004,N_KH_04010102_01,,F,U,PT,,37.3
2005,N_KH_04010102_01,,F,U,PT,,33.8
2006,N_KH_04010102_01,,F,U,PT,,70.1
2007,N_KH_04010102_01,,F,U,PT,,79.8
2008,N_KH_04010102_01,,F,U,PT,,73.1
2009,N_KH_04010102_01,,F,U,PT,,64.8
2010,N_KH_04010102_01,,F,U,PT,,55.9
2011,N_KH_04010102_01,,F,U,PT,,50.3
2012,N_KH_04010102_01,,F,U,PT,,50.9
2013,N_KH_04010102_01,,F,U,PT,,50.0
2014,N_KH_04010102_01,,F,U,PT,,49.7
2015,N_KH_04010102_01,,F,U,PT,,44.7
2016,N_KH_04010102_01,,F,U,PT,,46.4
2017,N_KH_04010102_01,,F,U,PT,,47.8
2018,N_KH_04010102_01,,F,U,PT,,48.3
2019,N_KH_04010102_01,,F,U,PT,,48.2
2004,N_KH_04010102_01,,F,R,PT,,15.6
2005,N_KH_04010102_01,,F,R,PT,,15.2
2006,N_KH_04010102_01,,F,R,PT,,29.5
2007,N_KH_04010102_01,,F,R,PT,,38.4
2008,N_KH_04010102_01,,F,R,PT,,41.5
2009,N_KH_04010102_01,,F,R,PT,,43.7
2010,N_KH_04010102_01,,F,R,PT,,41.4
