Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2015,N_KH_040301_01,,,Y18T21,PT,,12.4
2016,N_KH_040301_01,,,Y18T21,PT,,10.9
2017,N_KH_040301_01,,,Y18T21,PT,,10.5
2018,N_KH_040301_01,,,Y18T21,PT,,11.6
2019,N_KH_040301_01,,,Y18T21,PT,,12.7
2020,N_KH_040301_01,,,Y18T21,PT,,13.8
2018,N_KH_040301_01,,F,Y18T21,PT,,11.3
2019,N_KH_040301_01,,F,Y18T21,PT,,11.6
2020,N_KH_040301_01,,F,Y18T21,PT,,12.0
2018,N_KH_040301_01,,M,Y18T21,PT,,12.2
2019,N_KH_040301_01,,M,Y18T21,PT,,14.3
2020,N_KH_040301_01,,M,Y18T21,PT,,15.5
