Year,SERIES,REF_AREA,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2008,N_KH_040502_01,,,ISCED11_3,PT,,0.75
2009,N_KH_040502_01,,,ISCED11_3,PT,,0.83
2010,N_KH_040502_01,,,ISCED11_3,PT,,0.84
2011,N_KH_040502_01,,,ISCED11_3,PT,,0.9
2012,N_KH_040502_01,,,ISCED11_3,PT,,0.93
2013,N_KH_040502_01,,,ISCED11_3,PT,,0.98
2014,N_KH_040502_01,,,ISCED11_3,PT,,1.0
2015,N_KH_040502_01,,,ISCED11_3,PT,,1.08
2016,N_KH_040502_01,,,ISCED11_3,PT,,1.13
2017,N_KH_040502_01,,,ISCED11_3,PT,,1.18
2018,N_KH_040502_01,,,ISCED11_3,PT,,1.24
2019,N_KH_040502_01,,,ISCED11_3,PT,,1.31
2008,N_KH_040502_01,,U,ISCED11_3,PT,,0.78
2009,N_KH_040502_01,,U,ISCED11_3,PT,,0.77
2010,N_KH_040502_01,,U,ISCED11_3,PT,,0.81
2011,N_KH_040502_01,,U,ISCED11_3,PT,,0.86
2012,N_KH_040502_01,,U,ISCED11_3,PT,,0.88
2013,N_KH_040502_01,,U,ISCED11_3,PT,,0.93
2014,N_KH_040502_01,,U,ISCED11_3,PT,,1.0
2015,N_KH_040502_01,,U,ISCED11_3,PT,,1.0
2016,N_KH_040502_01,,U,ISCED11_3,PT,,1.03
2017,N_KH_040502_01,,U,ISCED11_3,PT,,1.03
2018,N_KH_040502_01,,U,ISCED11_3,PT,,1.07
2019,N_KH_040502_01,,U,ISCED11_3,PT,,1.13
2008,N_KH_040502_01,,R,ISCED11_3,PT,,0.72
2009,N_KH_040502_01,,R,ISCED11_3,PT,,0.83
2010,N_KH_040502_01,,R,ISCED11_3,PT,,0.84
2011,N_KH_040502_01,,R,ISCED11_3,PT,,0.91
2012,N_KH_040502_01,,R,ISCED11_3,PT,,0.95
2013,N_KH_040502_01,,R,ISCED11_3,PT,,0.98
2014,N_KH_040502_01,,R,ISCED11_3,PT,,1.0
2015,N_KH_040502_01,,R,ISCED11_3,PT,,1.11
2016,N_KH_040502_01,,R,ISCED11_3,PT,,1.17
2017,N_KH_040502_01,,R,ISCED11_3,PT,,1.24
2018,N_KH_040502_01,,R,ISCED11_3,PT,,1.3
2019,N_KH_040502_01,,R,ISCED11_3,PT,,1.37
2008,N_KH_040502_01,KH01,,ISCED11_3,PT,KH01,0.87
2009,N_KH_040502_01,KH01,,ISCED11_3,PT,KH01,0.91
2010,N_KH_040502_01,KH01,,ISCED11_3,PT,KH01,0.97
2011,N_KH_040502_01,KH01,,ISCED11_3,PT,KH01,0.99
2012,N_KH_040502_01,KH01,,ISCED11_3,PT,KH01,1.05
2013,N_KH_040502_01,KH01,,ISCED11_3,PT,KH01,1.08
2014,N_KH_040502_01,KH01,,ISCED11_3,PT,KH01,1.1
2015,N_KH_040502_01,KH01,,ISCED11_3,PT,KH01,1.17
2016,N_KH_040502_01,KH01,,ISCED11_3,PT,KH01,1.19
2017,N_KH_040502_01,KH01,,ISCED11_3,PT,KH01,1.24
2018,N_KH_040502_01,KH01,,ISCED11_3,PT,KH01,1.32
