Year,SERIES,REF_AREA,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
1993,SH_H2O_SAFE,,,,PT,,5.8
1996,SH_H2O_SAFE,,,,PT,,26.4
1997,SH_H2O_SAFE,,,,PT,,29.9
1999,SH_H2O_SAFE,,,,PT,,47.5
2004,SH_H2O_SAFE,,,,PT,,51.2
2007,SH_H2O_SAFE,,,,PT,,54.5
2008,SH_H2O_SAFE,,,,PT,,55.0
2009,SH_H2O_SAFE,,,,PT,,48.7
2010,SH_H2O_SAFE,,,,PT,,48.2
2011,SH_H2O_SAFE,,,,PT,,50.5
2012,SH_H2O_SAFE,,,,PT,,50.7
2013,SH_H2O_SAFE,,,,PT,,54.2
2014,SH_H2O_SAFE,,,,PT,,54.5
2015,SH_H2O_SAFE,,,,PT,,59.2
2016,SH_H2O_SAFE,,,,PT,,61.1
2017,SH_H2O_SAFE,,,,PT,,64.8
2019,SH_H2O_SAFE,,,,PT,,79.71
2009,SH_H2O_SAFE,,,_L_TWS_PIPE,PT,,15.0
2010,SH_H2O_SAFE,,,_L_TWS_PIPE,PT,,14.2
2011,SH_H2O_SAFE,,,_L_TWS_PIPE,PT,,16.2
2012,SH_H2O_SAFE,,,_L_TWS_PIPE,PT,,20.0
2013,SH_H2O_SAFE,,,_L_TWS_PIPE,PT,,22.5
2014,SH_H2O_SAFE,,,_L_TWS_PIPE,PT,,21.7
2015,SH_H2O_SAFE,,,_L_TWS_PIPE,PT,,24.1
2016,SH_H2O_SAFE,,,_L_TWS_PIPE,PT,,29.5
2017,SH_H2O_SAFE,,,_L_TWS_PIPE,PT,,29.2
2019,SH_H2O_SAFE,,,_L_TWS_PIPE,PT,,29.55
2009,SH_H2O_SAFE,,,_L_TWS_PUBTAP,PT,,0.5
2010,SH_H2O_SAFE,,,_L_TWS_PUBTAP,PT,,0.1
2011,SH_H2O_SAFE,,,_L_TWS_PUBTAP,PT,,0.1
2012,SH_H2O_SAFE,,,_L_TWS_PUBTAP,PT,,0.1
2013,SH_H2O_SAFE,,,_L_TWS_PUBTAP,PT,,0.0
2014,SH_H2O_SAFE,,,_L_TWS_PUBTAP,PT,,0.1
2015,SH_H2O_SAFE,,,_L_TWS_PUBTAP,PT,,0.6
2016,SH_H2O_SAFE,,,_L_TWS_PUBTAP,PT,,0.3
2017,SH_H2O_SAFE,,,_L_TWS_PUBTAP,PT,,1.0
2019,SH_H2O_SAFE,,,_L_TWS_PUBTAP,PT,,0.95
2009,SH_H2O_SAFE,,,_L_TWS_PIPEWELL,PT,,26.0
2010,SH_H2O_SAFE,,,_L_TWS_PIPEWELL,PT,,26.2
2011,SH_H2O_SAFE,,,_L_TWS_PIPEWELL,PT,,26.5
2012,SH_H2O_SAFE,,,_L_TWS_PIPEWELL,PT,,24.9
2013,SH_H2O_SAFE,,,_L_TWS_PIPEWELL,PT,,26.7
2014,SH_H2O_SAFE,,,_L_TWS_PIPEWELL,PT,,25.2
2015,SH_H2O_SAFE,,,_L_TWS_PIPEWELL,PT,,28.0
2016,SH_H2O_SAFE,,,_L_TWS_PIPEWELL,PT,,26.0
2017,SH_H2O_SAFE,,,_L_TWS_PIPEWELL,PT,,29.0
2019,SH_H2O_SAFE,,,_L_TWS_PIPEWELL,PT,,30.1
2009,SH_H2O_SAFE,,,_L_TWS_DUGWELL,PT,,6.9
2010,SH_H2O_SAFE,,,_L_TWS_DUGWELL,PT,,7.4
2011,SH_H2O_SAFE,,,_L_TWS_DUGWELL,PT,,7.5
2012,SH_H2O_SAFE,,,_L_TWS_DUGWELL,PT,,5.5
2013,SH_H2O_SAFE,,,_L_TWS_DUGWELL,PT,,4.8
2014,SH_H2O_SAFE,,,_L_TWS_DUGWELL,PT,,7.0
2015,SH_H2O_SAFE,,,_L_TWS_DUGWELL,PT,,6.4
2016,SH_H2O_SAFE,,,_L_TWS_DUGWELL,PT,,4.8
2017,SH_H2O_SAFE,,,_L_TWS_DUGWELL,PT,,5.3
2019,SH_H2O_SAFE,,,_L_TWS_DUGWELL,PT,,4.16
2009,SH_H2O_SAFE,,,_L_TWS_RAINCOLL,PT,,0.3
2010,SH_H2O_SAFE,,,_L_TWS_RAINCOLL,PT,,0.3
2011,SH_H2O_SAFE,,,_L_TWS_RAINCOLL,PT,,0.2
2012,SH_H2O_SAFE,,,_L_TWS_RAINCOLL,PT,,0.3
2013,SH_H2O_SAFE,,,_L_TWS_RAINCOLL,PT,,0.1
2014,SH_H2O_SAFE,,,_L_TWS_RAINCOLL,PT,,0.5
2015,SH_H2O_SAFE,,,_L_TWS_RAINCOLL,PT,,0.1
2016,SH_H2O_SAFE,,,_L_TWS_RAINCOLL,PT,,0.5
