Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
1993,EG_ACS_ELEC,,,PT,,9.5
1996,EG_ACS_ELEC,,,PT,,11.9
1997,EG_ACS_ELEC,,,PT,,9.0
1999,EG_ACS_ELEC,,,PT,,10.6
2004,EG_ACS_ELEC,,,PT,,14.2
2007,EG_ACS_ELEC,,,PT,,20.2
2008,EG_ACS_ELEC,,,PT,,24.2
2009,EG_ACS_ELEC,,,PT,,25.6
2010,EG_ACS_ELEC,,,PT,,32.5
2011,EG_ACS_ELEC,,,PT,,37.4
2012,EG_ACS_ELEC,,,PT,,42.3
2013,EG_ACS_ELEC,,,PT,,50.9
2014,EG_ACS_ELEC,,,PT,,59.8
2015,EG_ACS_ELEC,,,PT,,67.4
2016,EG_ACS_ELEC,,,PT,,80.9
2017,EG_ACS_ELEC,,,PT,,85.9
2019,EG_ACS_ELEC,,,PT,,85.8
1993,EG_ACS_ELEC,,U,PT,,30.2
1996,EG_ACS_ELEC,,U,PT,,29.3
1997,EG_ACS_ELEC,,U,PT,,22.3
1999,EG_ACS_ELEC,,U,PT,,24.4
2004,EG_ACS_ELEC,,U,PT,,44.0
2007,EG_ACS_ELEC,,U,PT,,56.0
2008,EG_ACS_ELEC,,U,PT,,62.1
2009,EG_ACS_ELEC,,U,PT,,76.7
2010,EG_ACS_ELEC,,U,PT,,78.1
2011,EG_ACS_ELEC,,U,PT,,80.9
2012,EG_ACS_ELEC,,U,PT,,87.0
2013,EG_ACS_ELEC,,U,PT,,94.3
2014,EG_ACS_ELEC,,U,PT,,91.8
2015,EG_ACS_ELEC,,U,PT,,94.3
2016,EG_ACS_ELEC,,U,PT,,93.4
2017,EG_ACS_ELEC,,U,PT,,96.6
2019,EG_ACS_ELEC,,U,PT,,96.8
1993,EG_ACS_ELEC,,R,PT,,3.0
1996,EG_ACS_ELEC,,R,PT,,5.3
1997,EG_ACS_ELEC,,R,PT,,2.2
1999,EG_ACS_ELEC,,R,PT,,2.4
2004,EG_ACS_ELEC,,R,PT,,2.3
2007,EG_ACS_ELEC,,R,PT,,10.3
2008,EG_ACS_ELEC,,R,PT,,11.3
2009,EG_ACS_ELEC,,R,PT,,11.5
2010,EG_ACS_ELEC,,R,PT,,18.8
2011,EG_ACS_ELEC,,R,PT,,24.0
2012,EG_ACS_ELEC,,R,PT,,26.8
2013,EG_ACS_ELEC,,R,PT,,37.9
2014,EG_ACS_ELEC,,R,PT,,48.3
2015,EG_ACS_ELEC,,R,PT,,63.3
2016,EG_ACS_ELEC,,R,PT,,76.4
2017,EG_ACS_ELEC,,R,PT,,82.4
2019,EG_ACS_ELEC,,R,PT,,79.1
