Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,GeoCode,Value
2000,SH_STA_STNT,,F,Y0T4,,,PT,,45.9
2005,SH_STA_STNT,,F,Y0T4,,,PT,,35.8
2010,SH_STA_STNT,,F,Y0T4,,,PT,,38.2
2014,SH_STA_STNT,,F,Y0T4,,,PT,,31.9
2021,SH_STA_STNT,,F,Y0T4,,,PT,,19.2
2000,SH_STA_STNT,,M,Y0T4,,,PT,,43.3
2005,SH_STA_STNT,,M,Y0T4,,,PT,,38.8
2010,SH_STA_STNT,,M,Y0T4,,,PT,,41.6
2014,SH_STA_STNT,,M,Y0T4,,,PT,,32.9
2021,SH_STA_STNT,,M,Y0T4,,,PT,,24.5
2000,SH_STA_STNT,,,Y0T4,,,PT,,44.6
2005,SH_STA_STNT,,,Y0T4,,,PT,,37.3
2010,SH_STA_STNT,,,Y0T4,,,PT,,39.9
2014,SH_STA_STNT,,,Y0T4,,,PT,,32.4
2021,SH_STA_STNT,,,Y0T4,,,PT,,21.9
2005,SH_STA_STNT,,,Y0T4,,Q1,PT,,46.7
2010,SH_STA_STNT,,,Y0T4,,Q1,PT,,51.1
2014,SH_STA_STNT,,,Y0T4,,Q1,PT,,41.9
2021,SH_STA_STNT,,,Y0T4,,Q1,PT,,30.3
2005,SH_STA_STNT,,,Y0T4,,Q2,PT,,42.5
2010,SH_STA_STNT,,,Y0T4,,Q2,PT,,44.4
2014,SH_STA_STNT,,,Y0T4,,Q2,PT,,37.1
2021,SH_STA_STNT,,,Y0T4,,Q2,PT,,23.0
2005,SH_STA_STNT,,,Y0T4,,Q3,PT,,36.5
2010,SH_STA_STNT,,,Y0T4,,Q3,PT,,39.3
2014,SH_STA_STNT,,,Y0T4,,Q3,PT,,31.7
2021,SH_STA_STNT,,,Y0T4,,Q3,PT,,22.5
2005,SH_STA_STNT,,,Y0T4,,Q4,PT,,35.5
2010,SH_STA_STNT,,,Y0T4,,Q4,PT,,34.2
2014,SH_STA_STNT,,,Y0T4,,Q4,PT,,29.1
2021,SH_STA_STNT,,,Y0T4,,Q4,PT,,18.3
2005,SH_STA_STNT,,,Y0T4,,Q5,PT,,19.4
2010,SH_STA_STNT,,,Y0T4,,Q5,PT,,23.1
2014,SH_STA_STNT,,,Y0T4,,Q5,PT,,18.5
2021,SH_STA_STNT,,,Y0T4,,Q5,PT,,12.5
2000,SH_STA_STNT,,,Y0T4,U,,PT,,38.1
2005,SH_STA_STNT,,,Y0T4,U,,PT,,30.5
2010,SH_STA_STNT,,,Y0T4,U,,PT,,27.5
2014,SH_STA_STNT,,,Y0T4,U,,PT,,23.7
2021,SH_STA_STNT,,,Y0T4,U,,PT,,16.8
2000,SH_STA_STNT,,,Y0T4,R,,PT,,45.7
2005,SH_STA_STNT,,,Y0T4,R,,PT,,38.3
2010,SH_STA_STNT,,,Y0T4,R,,PT,,42.2
2014,SH_STA_STNT,,,Y0T4,R,,PT,,33.8
2021,SH_STA_STNT,,,Y0T4,R,,PT,,24.7
2000,SH_STA_STNT,KH01,,Y0T4,,,PT,KH01,28.9
2005,SH_STA_STNT,KH01,,Y0T4,,,PT,KH01,34.1
2010,SH_STA_STNT,KH01,,Y0T4,,,PT,KH01,33.4
2014,SH_STA_STNT,KH01,,Y0T4,,,PT,KH01,28.6
2021,SH_STA_STNT,KH01,,Y0T4,,,PT,KH01,15.6
2000,SH_STA_STNT,KH03,,Y0T4,,,PT,KH03,48.2
2005,SH_STA_STNT,KH03,,Y0T4,,,PT,KH03,37.2
2010,SH_STA_STNT,KH03,,Y0T4,,,PT,KH03,46.9
2014,SH_STA_STNT,KH03,,Y0T4,,,PT,KH03,33.5
2021,SH_STA_STNT,KH03,,Y0T4,,,PT,KH03,22.8
2000,SH_STA_STNT,KH04,,Y0T4,,,PT,KH04,45.9
2005,SH_STA_STNT,KH04,,Y0T4,,,PT,KH04,37.3
2010,SH_STA_STNT,KH04,,Y0T4,,,PT,KH04,40.3
2014,SH_STA_STNT,KH04,,Y0T4,,,PT,KH04,42.8
2021,SH_STA_STNT,KH04,,Y0T4,,,PT,KH04,19.1
2000,SH_STA_STNT,KH05,,Y0T4,,,PT,KH05,44.5
2005,SH_STA_STNT,KH05,,Y0T4,,,PT,KH05,36.6
2010,SH_STA_STNT,KH05,,Y0T4,,,PT,KH05,42.1
2014,SH_STA_STNT,KH05,,Y0T4,,,PT,KH05,40.5
2021,SH_STA_STNT,KH05,,Y0T4,,,PT,KH05,24.9
2000,SH_STA_STNT,KH06,,Y0T4,,,PT,KH06,47.2
2005,SH_STA_STNT,KH06,,Y0T4,,,PT,KH06,41.1
2010,SH_STA_STNT,KH06,,Y0T4,,,PT,KH06,49.9
2014,SH_STA_STNT,KH06,,Y0T4,,,PT,KH06,36.4
2021,SH_STA_STNT,KH06,,Y0T4,,,PT,KH06,26.5
2000,SH_STA_STNT,KH08,,Y0T4,,,PT,KH08,46.2
2005,SH_STA_STNT,KH08,,Y0T4,,,PT,KH08,26.8
2010,SH_STA_STNT,KH08,,Y0T4,,,PT,KH08,34.9
2014,SH_STA_STNT,KH08,,Y0T4,,,PT,KH08,28.1
2021,SH_STA_STNT,KH08,,Y0T4,,,PT,KH08,15.0
2000,SH_STA_STNT,KH09,,Y0T4,,,PT,KH09,55.0
2021,SH_STA_STNT,KH09,,Y0T4,,,PT,KH09,22.5
2005,SH_STA_STNT,KH10,,Y0T4,,,PT,KH10,37.1
2010,SH_STA_STNT,KH10,,Y0T4,,,PT,KH10,47.6
2014,SH_STA_STNT,KH10,,Y0T4,,,PT,KH10,38.4
2021,SH_STA_STNT,KH10,,Y0T4,,,PT,KH10,21.8
2005,SH_STA_STNT,KH22,,Y0T4,,,PT,KH22,47.3
2010,SH_STA_STNT,KH22,,Y0T4,,,PT,KH22,39.6
2014,SH_STA_STNT,KH22,,Y0T4,,,PT,KH22,36.3
2021,SH_STA_STNT,KH22,,Y0T4,,,PT,KH22,23.4
2000,SH_STA_STNT,KH12,,Y0T4,,,PT,KH12,22.6
2005,SH_STA_STNT,KH12,,Y0T4,,,PT,KH12,22.3
2010,SH_STA_STNT,KH12,,Y0T4,,,PT,KH12,25.1
2014,SH_STA_STNT,KH12,,Y0T4,,,PT,KH12,17.9
2021,SH_STA_STNT,KH12,,Y0T4,,,PT,KH12,15.3
2000,SH_STA_STNT,KH14,,Y0T4,,,PT,KH14,51.2
2005,SH_STA_STNT,KH14,,Y0T4,,,PT,KH14,38.3
2010,SH_STA_STNT,KH14,,Y0T4,,,PT,KH14,34.6
2014,SH_STA_STNT,KH14,,Y0T4,,,PT,KH14,32.7
2021,SH_STA_STNT,KH14,,Y0T4,,,PT,KH14,22.1
2000,SH_STA_STNT,KH15,,Y0T4,,,PT,KH15,46.3
2005,SH_STA_STNT,KH15,,Y0T4,,,PT,KH15,61.6
