Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2007,SH_STA_TRAF,,PER_100000_POP,,10.8
2008,SH_STA_TRAF,,PER_100000_POP,,11.9
2009,SH_STA_TRAF,,PER_100000_POP,,12.2
2010,SH_STA_TRAF,,PER_100000_POP,,12.7
2011,SH_STA_TRAF,,PER_100000_POP,,13.1
2012,SH_STA_TRAF,,PER_100000_POP,,13.3
2013,SH_STA_TRAF,,PER_100000_POP,,13.3
2014,SH_STA_TRAF,,PER_100000_POP,,14.9
2015,SH_STA_TRAF,,PER_100000_POP,,14.7
2016,SH_STA_TRAF,,PER_100000_POP,,12.0
2017,SH_STA_TRAF,,PER_100000_POP,,11.3
2018,SH_STA_TRAF,,PER_100000_POP,,11.0
2019,SH_STA_TRAF,,PER_100000_POP,,12.2
