Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2008,N_KH_040501_01,,,PT,,0.9
2009,N_KH_040501_01,,,PT,,1.0
2010,N_KH_040501_01,,,PT,,1.0
2011,N_KH_040501_01,,,PT,,1.0
2012,N_KH_040501_01,,,PT,,1.0
2013,N_KH_040501_01,,,PT,,1.1
2014,N_KH_040501_01,,,PT,,1.1
2015,N_KH_040501_01,,,PT,,1.1
2016,N_KH_040501_01,,,PT,,1.1
2017,N_KH_040501_01,,,PT,,1.2
2018,N_KH_040501_01,,,PT,,1.2
2019,N_KH_040501_01,,,PT,,1.2
2008,N_KH_040501_01,,U,PT,,0.9
2009,N_KH_040501_01,,U,PT,,0.9
2010,N_KH_040501_01,,U,PT,,0.8
2011,N_KH_040501_01,,U,PT,,0.9
2012,N_KH_040501_01,,U,PT,,1.0
2013,N_KH_040501_01,,U,PT,,1.0
2014,N_KH_040501_01,,U,PT,,1.0
2015,N_KH_040501_01,,U,PT,,1.0
2016,N_KH_040501_01,,U,PT,,1.1
2017,N_KH_040501_01,,U,PT,,1.1
2018,N_KH_040501_01,,U,PT,,1.1
2019,N_KH_040501_01,,U,PT,,1.1
2008,N_KH_040501_01,,R,PT,,0.9
2009,N_KH_040501_01,,R,PT,,1.0
2010,N_KH_040501_01,,R,PT,,1.0
2011,N_KH_040501_01,,R,PT,,1.0
2012,N_KH_040501_01,,R,PT,,1.0
2013,N_KH_040501_01,,R,PT,,1.1
2014,N_KH_040501_01,,R,PT,,1.1
2015,N_KH_040501_01,,R,PT,,1.1
2016,N_KH_040501_01,,R,PT,,1.2
2017,N_KH_040501_01,,R,PT,,1.2
2018,N_KH_040501_01,,R,PT,,1.2
2019,N_KH_040501_01,,R,PT,,1.2
