Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2014,N_KH_040601_01,,F,Y6T14,PT,,66.4
2015,N_KH_040601_01,,F,Y6T14,PT,,72.3
2016,N_KH_040601_01,,F,Y6T14,PT,,74.9
2017,N_KH_040601_01,,F,Y6T14,PT,,71.0
2019,N_KH_040601_01,,F,Y6T14,PT,,78.2
2014,N_KH_040601_01,,F,Y_GE6,PT,,70.8
2015,N_KH_040601_01,,F,Y_GE6,PT,,74.5
2016,N_KH_040601_01,,F,Y_GE6,PT,,78.4
2017,N_KH_040601_01,,F,Y_GE6,PT,,76.7
2019,N_KH_040601_01,,F,Y_GE6,PT,,77.3
2004,N_KH_040601_01,,F,Y7T14,PT,,62.5
2007,N_KH_040601_01,,F,Y7T14,PT,,66.1
2008,N_KH_040601_01,,F,Y7T14,PT,,67.9
2009,N_KH_040601_01,,F,Y7T14,PT,,70.3
2010,N_KH_040601_01,,F,Y7T14,PT,,73.2
2011,N_KH_040601_01,,F,Y7T14,PT,,71.8
2012,N_KH_040601_01,,F,Y7T14,PT,,61.2
2013,N_KH_040601_01,,F,Y7T14,PT,,64.5
2004,N_KH_040601_01,,F,Y_GE7,PT,,60.5
2007,N_KH_040601_01,,F,Y_GE7,PT,,66.0
2008,N_KH_040601_01,,F,Y_GE7,PT,,67.7
2009,N_KH_040601_01,,F,Y_GE7,PT,,66.8
2010,N_KH_040601_01,,F,Y_GE7,PT,,69.9
2011,N_KH_040601_01,,F,Y_GE7,PT,,72.5
2012,N_KH_040601_01,,F,Y_GE7,PT,,70.6
2013,N_KH_040601_01,,F,Y_GE7,PT,,72.5
2004,N_KH_040601_01,,F,Y15T24,PT,,76.8
2007,N_KH_040601_01,,F,Y15T24,PT,,84.4
2008,N_KH_040601_01,,F,Y15T24,PT,,87.9
2009,N_KH_040601_01,,F,Y15T24,PT,,85.8
2010,N_KH_040601_01,,F,Y15T24,PT,,88.2
2011,N_KH_040601_01,,F,Y15T24,PT,,91.3
2012,N_KH_040601_01,,F,Y15T24,PT,,91.3
2013,N_KH_040601_01,,F,Y15T24,PT,,92.8
2014,N_KH_040601_01,,F,Y15T24,PT,,90.4
2015,N_KH_040601_01,,F,Y15T24,PT,,92.6
2016,N_KH_040601_01,,F,Y15T24,PT,,95.9
2017,N_KH_040601_01,,F,Y15T24,PT,,95.7
2019,N_KH_040601_01,,F,Y15T24,PT,,95.1
2004,N_KH_040601_01,,F,Y_GE15,PT,,59.9
2007,N_KH_040601_01,,F,Y_GE15,PT,,66.0
2008,N_KH_040601_01,,F,Y_GE15,PT,,67.7
2009,N_KH_040601_01,,F,Y_GE15,PT,,65.9
2010,N_KH_040601_01,,F,Y_GE15,PT,,69.1
2011,N_KH_040601_01,,F,Y_GE15,PT,,72.6
2012,N_KH_040601_01,,F,Y_GE15,PT,,73.2
2013,N_KH_040601_01,,F,Y_GE15,PT,,74.4
2014,N_KH_040601_01,,F,Y_GE15,PT,,71.8
2015,N_KH_040601_01,,F,Y_GE15,PT,,75.0
2016,N_KH_040601_01,,F,Y_GE15,PT,,79.3
2017,N_KH_040601_01,,F,Y_GE15,PT,,78.1
2019,N_KH_040601_01,,F,Y_GE15,PT,,77.1
2004,N_KH_040601_01,,F,Y25T34,PT,,63.7
2007,N_KH_040601_01,,F,Y25T34,PT,,69.9
2008,N_KH_040601_01,,F,Y25T34,PT,,71.7
2009,N_KH_040601_01,,F,Y25T34,PT,,69.0
2010,N_KH_040601_01,,F,Y25T34,PT,,74.9
2011,N_KH_040601_01,,F,Y25T34,PT,,79.2
2012,N_KH_040601_01,,F,Y25T34,PT,,78.3
2013,N_KH_040601_01,,F,Y25T34,PT,,82.0
2014,N_KH_040601_01,,F,Y25T34,PT,,79.1
2015,N_KH_040601_01,,F,Y25T34,PT,,82.1
2016,N_KH_040601_01,,F,Y25T34,PT,,87.5
2017,N_KH_040601_01,,F,Y25T34,PT,,85.7
2019,N_KH_040601_01,,F,Y25T34,PT,,88.0
2004,N_KH_040601_01,,F,Y35T44,PT,,56.6
2007,N_KH_040601_01,,F,Y35T44,PT,,64.1
2008,N_KH_040601_01,,F,Y35T44,PT,,67.0
2009,N_KH_040601_01,,F,Y35T44,PT,,63.5
2010,N_KH_040601_01,,F,Y35T44,PT,,66.8
2011,N_KH_040601_01,,F,Y35T44,PT,,69.3
2012,N_KH_040601_01,,F,Y35T44,PT,,74.2
2013,N_KH_040601_01,,F,Y35T44,PT,,73.8
2014,N_KH_040601_01,,F,Y35T44,PT,,67.8
2015,N_KH_040601_01,,F,Y35T44,PT,,71.9
2016,N_KH_040601_01,,F,Y35T44,PT,,76.4
2017,N_KH_040601_01,,F,Y35T44,PT,,71.2
2019,N_KH_040601_01,,F,Y35T44,PT,,75.2
2004,N_KH_040601_01,,F,Y_GE65,PT,,14.3
2007,N_KH_040601_01,,F,Y_GE65,PT,,17.1
2008,N_KH_040601_01,,F,Y_GE65,PT,,19.6
2009,N_KH_040601_01,,F,Y_GE65,PT,,18.6
2010,N_KH_040601_01,,F,Y_GE65,PT,,22.4
2011,N_KH_040601_01,,F,Y_GE65,PT,,25.9
2012,N_KH_040601_01,,F,Y_GE65,PT,,26.1
2013,N_KH_040601_01,,F,Y_GE65,PT,,27.1
2014,N_KH_040601_01,,F,Y_GE65,PT,,28.4
2015,N_KH_040601_01,,F,Y_GE65,PT,,36.8
2016,N_KH_040601_01,,F,Y_GE65,PT,,39.8
2017,N_KH_040601_01,,F,Y_GE65,PT,,39.0
2019,N_KH_040601_01,,F,Y_GE65,PT,,44.0
2004,N_KH_040601_01,,F,Y45T54,PT,,54.6
2007,N_KH_040601_01,,F,Y45T54,PT,,59.4
2008,N_KH_040601_01,,F,Y45T54,PT,,58.9
2009,N_KH_040601_01,,F,Y45T54,PT,,54.6
