Year,SERIES,REF_AREA,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
1993,SH_SAN_SAFE,,,,PT,,8.6
1996,SH_SAN_SAFE,,,,PT,,15.4
1997,SH_SAN_SAFE,,,,PT,,16.7
1999,SH_SAN_SAFE,,,,PT,,18.4
2004,SH_SAN_SAFE,,,,PT,,24.7
2007,SH_SAN_SAFE,,,,PT,,30.5
2008,SH_SAN_SAFE,,,,PT,,32.8
2009,SH_SAN_SAFE,,,,PT,,34.0
2010,SH_SAN_SAFE,,,,PT,,40.0
2011,SH_SAN_SAFE,,,,PT,,43.6
2012,SH_SAN_SAFE,,,,PT,,45.2
2013,SH_SAN_SAFE,,,,PT,,51.7
2014,SH_SAN_SAFE,,,,PT,,55.9
2015,SH_SAN_SAFE,,,,PT,,61.8
2016,SH_SAN_SAFE,,,,PT,,72.9
2017,SH_SAN_SAFE,,,,PT,,76.0
2019,SH_SAN_SAFE,,,,PT,,80.36
2008,SH_SAN_SAFE,,,_L_TLT_FLSEWER,PT,,9.7
2009,SH_SAN_SAFE,,,_L_TLT_FLSEWER,PT,,9.6
2010,SH_SAN_SAFE,,,_L_TLT_FLSEWER,PT,,9.1
2011,SH_SAN_SAFE,,,_L_TLT_FLSEWER,PT,,9.0
2012,SH_SAN_SAFE,,,_L_TLT_FLSEWER,PT,,10.4
2013,SH_SAN_SAFE,,,_L_TLT_FLSEWER,PT,,11.3
2014,SH_SAN_SAFE,,,_L_TLT_FLSEWER,PT,,12.4
2015,SH_SAN_SAFE,,,_L_TLT_FLSEWER,PT,,12.6
2016,SH_SAN_SAFE,,,_L_TLT_FLSEWER,PT,,13.4
2017,SH_SAN_SAFE,,,_L_TLT_FLSEWER,PT,,11.9
2019,SH_SAN_SAFE,,,_L_TLT_FLSEWER,PT,,17.59
2008,SH_SAN_SAFE,,,_L_TLT_FLSEPT,PT,,21.1
2009,SH_SAN_SAFE,,,_L_TLT_FLSEPT,PT,,24.3
2010,SH_SAN_SAFE,,,_L_TLT_FLSEPT,PT,,30.0
2011,SH_SAN_SAFE,,,_L_TLT_FLSEPT,PT,,33.1
2012,SH_SAN_SAFE,,,_L_TLT_FLSEPT,PT,,33.5
2013,SH_SAN_SAFE,,,_L_TLT_FLSEPT,PT,,39.9
2014,SH_SAN_SAFE,,,_L_TLT_FLSEPT,PT,,42.8
2015,SH_SAN_SAFE,,,_L_TLT_FLSEPT,PT,,48.3
2016,SH_SAN_SAFE,,,_L_TLT_FLSEPT,PT,,59.0
2017,SH_SAN_SAFE,,,_L_TLT_FLSEPT,PT,,63.1
2019,SH_SAN_SAFE,,,_L_TLT_FLSEPT,PT,,61.89
2008,SH_SAN_SAFE,,,_L_TLT_PLWS,PT,,2.0
2009,SH_SAN_SAFE,,,_L_TLT_PLWS,PT,,0.8
2010,SH_SAN_SAFE,,,_L_TLT_PLWS,PT,,0.9
2011,SH_SAN_SAFE,,,_L_TLT_PLWS,PT,,1.5
2012,SH_SAN_SAFE,,,_L_TLT_PLWS,PT,,1.2
2013,SH_SAN_SAFE,,,_L_TLT_PLWS,PT,,0.5
2014,SH_SAN_SAFE,,,_L_TLT_PLWS,PT,,0.7
2015,SH_SAN_SAFE,,,_L_TLT_PLWS,PT,,0.9
2016,SH_SAN_SAFE,,,_L_TLT_PLWS,PT,,0.5
2017,SH_SAN_SAFE,,,_L_TLT_PLWS,PT,,1.0
2019,SH_SAN_SAFE,,,_L_TLT_PLWS,PT,,0.88
1993,SH_SAN_SAFE,,U,,PT,,17.5
1996,SH_SAN_SAFE,,U,,PT,,32.3
1997,SH_SAN_SAFE,,U,,PT,,30.2
1999,SH_SAN_SAFE,,U,,PT,,34.3
2004,SH_SAN_SAFE,,U,,PT,,70.3
2007,SH_SAN_SAFE,,U,,PT,,76.1
2008,SH_SAN_SAFE,,U,,PT,,75.9
2009,SH_SAN_SAFE,,U,,PT,,84.8
2010,SH_SAN_SAFE,,U,,PT,,86.4
2011,SH_SAN_SAFE,,U,,PT,,87.4
2012,SH_SAN_SAFE,,U,,PT,,86.4
2013,SH_SAN_SAFE,,U,,PT,,93.0
2014,SH_SAN_SAFE,,U,,PT,,89.0
2015,SH_SAN_SAFE,,U,,PT,,92.1
2016,SH_SAN_SAFE,,U,,PT,,93.6
2017,SH_SAN_SAFE,,U,,PT,,94.4
2019,SH_SAN_SAFE,,U,,PT,,90.57
1993,SH_SAN_SAFE,,R,,PT,,6.2
1996,SH_SAN_SAFE,,R,,PT,,7.9
1997,SH_SAN_SAFE,,R,,PT,,7.8
1999,SH_SAN_SAFE,,R,,PT,,10.1
2004,SH_SAN_SAFE,,R,,PT,,14.8
2007,SH_SAN_SAFE,,R,,PT,,20.3
2008,SH_SAN_SAFE,,R,,PT,,22.8
2009,SH_SAN_SAFE,,R,,PT,,22.9
2010,SH_SAN_SAFE,,R,,PT,,29.2
2011,SH_SAN_SAFE,,R,,PT,,33.2
2012,SH_SAN_SAFE,,R,,PT,,33.3
2013,SH_SAN_SAFE,,R,,PT,,40.9
2014,SH_SAN_SAFE,,R,,PT,,46.9
2015,SH_SAN_SAFE,,R,,PT,,53.7
2016,SH_SAN_SAFE,,R,,PT,,67.4
2017,SH_SAN_SAFE,,R,,PT,,71.2
2019,SH_SAN_SAFE,,R,,PT,,74.15
