Year,Value,GeoCode,UNIT_MEASURE,SERIES
2007,10.8,,PER_100000_POP,SH_STA_TRAF
2008,11.9,,PER_100000_POP,SH_STA_TRAF
2009,12.2,,PER_100000_POP,SH_STA_TRAF
2010,12.7,,PER_100000_POP,SH_STA_TRAF
2011,13.1,,PER_100000_POP,SH_STA_TRAF
2012,13.3,,PER_100000_POP,SH_STA_TRAF
2013,13.3,,PER_100000_POP,SH_STA_TRAF
2014,14.9,,PER_100000_POP,SH_STA_TRAF
2015,14.7,,PER_100000_POP,SH_STA_TRAF
2016,12.0,,PER_100000_POP,SH_STA_TRAF
2017,11.3,,PER_100000_POP,SH_STA_TRAF
2018,11.0,,PER_100000_POP,SH_STA_TRAF
2019,12.2,,PER_100000_POP,SH_STA_TRAF
