Year,Value,GeoCode,UNIT_MEASURE,SERIES
2004,20.6,,PT,N_KH_04010102_01
2005,19.3,,PT,N_KH_04010102_01
2006,41.9,,PT,N_KH_04010102_01
2007,48.7,,PT,N_KH_04010102_01
2008,49.0,,PT,N_KH_04010102_01
2009,48.7,,PT,N_KH_04010102_01
2010,44.4,,PT,N_KH_04010102_01
2011,42.1,,PT,N_KH_04010102_01
2012,40.6,,PT,N_KH_04010102_01
2013,39.1,,PT,N_KH_04010102_01
2014,40.3,,PT,N_KH_04010102_01
2015,39.2,,PT,N_KH_04010102_01
2016,42.6,,PT,N_KH_04010102_01
2017,44.5,,PT,N_KH_04010102_01
2018,45.3,,PT,N_KH_04010102_01
2019,44.5,,PT,N_KH_04010102_01
