Value,km,en,Disaggregation combinations using this value,Number of indicators
KH01,បន្ទាយមានជ័យ,Banteay Meanchey,20,14
KH02,បាត់ដំបង,Battambang,16,10
KH03,កំពង់ចាម,Kampong Cham,20,14
KH04,កំពង់ឆ្នាំង,Kampong Chhnang,20,14
KH05,កំពង់ស្ពឺ,Kampong Speu,20,14
KH06,កំពង់ធំ,Kampong Thom,20,14
KH07,កំពត,Kampot,16,10
KH08,កណ្តាល,Kandal,20,14
KH09,កោះកុង,Koh Kong,20,14
KH10,ខេត្តក្រចេះ,Kratie,20,14
KH11,មណ្ឌលគីរី,Mondul Kiri,16,10
KH12,ភ្នំពេញ,Phnom Penh,21,15
KH13,ព្រះវិហារ,Preah Vihear,16,10
KH14,ព្រៃវែង,Prey Veng,20,14
KH15,ពោធិសាត់,Pursat,20,14
KH16,រតនគិរី,Ratanak Kiri,16,10
KH17,សៀមរាប,Siemreap,20,14
KH18,ព្រះសីហនុ,Preah Sihanouk,16,10
KH19,ស្ទឹងត្រែង,Stung Treng,16,10
KH20,ស្វាយរៀង,Svay Rieng,20,14
KH21,តាកែវ,Takeo,20,14
KH22,ឧត្តរមានជ័យ,Oddar Meanchey,20,14
KH23,កែប,Kep,16,10
KH24,ប៉ៃលិន,Pailin,16,10
KH25,ត្បូងឃ្មុំ,Tboung Khmum,10,6
KH_AGG_KH02_KH24,ខេត្តបាត់ដំបងនិងប៉ៃលិន,Battambang and Pailin,6,6
KH_AGG_KH07_KH18_KH23,កំពតព្រះសីហនុនិងកែប,"Kampot, Preah Sihanouk and Kep",6,6
KH_AGG_KH07_KH23,កំពតនិងកែប,Kampot and Kep,6,6
KH_AGG_KH10_KH13_KH19,ខេត្តក្រចេះព្រះវិហារនិងស្ទឹងត្រែង,"Kratie, Preah Vihear and Stung Treng",6,6
KH_AGG_KH11_KH16,មណ្ឌលគីរីនិងរតនគិរី,Mondul Kiri and Ratanak Kiri,6,6
KH_AGG_KH13_KH19,ព្រះវិហារនិងស្ទឹងត្រែង,Preah Vihear and Stung Treng,6,6
KH_AGG_KH22_KH17,ឧត្តរមានជ័យនិងសៀមរាប,Otdar Meanchey and Siem Reap,6,6
KH_KH09_KH18,កោះកុងនិងព្រះសីហនុ,Koh Kong and Preah Sihanouk,6,6
